"","ID_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"51","09029","7100",NA,"7","6.3","10.6","22.4","48.1","109.5","119.4","114.9","91.4","46.4","9.1","6.7","591.8","1971 - 2000"
"52","09029","8110",NA,"5.7","5.7","11.4","23.7","44.8","113.5","129.8","115.6","92.9","48.4","13","5.1","609.6","1981 - 2010"
"53","09030","5110",NA,"13.4","10.8","15.1","43","95.6","209.6","271","273.8","233.9","103.2","22.4","10.4",NA,"1951 - 2010"
"54","09030","7100",NA,"8.3","14.3","13.9","36.7","100.5","235.6","289.7","281.8","240.7","105","13.5","8.7",NA,"1971 - 2000"
"55","09031","5110",NA,"10.2","4.3","10","26.5","54.5","102.5","123.6","129.6","108.7","49.4","15.3","5.6","640.2","1951 - 2010"
"56","09032","5110",NA,"15.6","8.2","13.6","30.8","66.2","124.4","144.7","151.6","122.5","52.7","13.3","8.5","752.1","1951 - 2010"
"57","09032","7100",NA,"9.5","7.1","12.9","27.4","65.3","127.3","131","142.2","107.3","49","12.5","9.9","701.4","1971 - 2000"
"58","09032","8110",NA,"10.9","9.4","17.3","30.6","56.8","132","124.6","153","135.7","51.1","11.8","8.8","742","1981 - 2010"
"59","09033","5110",NA,"10.2","6.9","11.5","23.7","54","145","161.1","144.8","126.8","65.3","7.4","4.9","761.6","1951 - 2010"
"60","09033","7100",NA,"8.1","8.5","10.1","22.1","61.2","143","171.6","129.3","115.6","65.1","10.3","3.6","748.5","1971 - 2000"
"61","09034","5110",NA,"9.4","7","8.1","24.5","69.3","126.5","156.3","150.9","139.5","61.8","15.8","7.2","776.3","1951 - 2010"
"62","09034","7100",NA,"7.3","5.5","9.3","20.9","70.4","128.2","133.4","126.8","115.8","55.7","9.1","6.4","688.8","1971 - 2000"
"63","09036","5110",NA,"8","5.6","9.5","23.3","55.4","130.8","153.1","139.1","124","57.9","10.2","3.9","720.8","1951 - 2010"
"64","09036","7100",NA,"7.9","4.3","8.1","21.2","57.6","132.9","151.9","127.9","119.1","60","7.7","3.7","702.3","1971 - 2000"
"65","09036","8110",NA,"8.5","6.4","8.3","24.4","50.9","129.1","164.9","144.2","127.2","56.3","12.4","2.9","735.5","1981 - 2010"
"66","09037","5110",NA,"11.3","4.8","10.1","24.6","65.6","153.8","197.1","195.1","168","66.5","11.2","5.9","914","1951 - 2010"
"67","09037","7100",NA,"8.5","6.2","11.6","21.8","71.6","179.7","204","198","174","69.8","8.3","5.6","959.1","1971 - 2000"
"68","09038","5110",NA,"10.2","5.5","10.1","25.5","63.4","159.7","205.6","184.8","165.7","65.8","9.8","6.2","912.3","1951 - 2010"
"69","09038","7100",NA,"7.1","6.7","11.3","21.4","65.5","174.8","216","182.7","174.8","70.2","7.8","4.8","943.1","1971 - 2000"
"70","09039","5110",NA,"11","5.4","9.2","24.2","56.8","139.5","189.4","155","137.3","58.3","9","8","803.1","1951 - 2010"
"71","09039","7100",NA,"8","7.3","10.7","21.1","57.5","149.7","193.5","145.8","129.5","61.2","5.5","8","797.8","1971 - 2000"
"72","09041","5110",NA,"13.9","6.5","14.3","34.5","71","167.6","188.3","190.8","189.6","72.5","11.2","5.6","965.8","1951 - 2010"
"73","09041","7100",NA,"10.6","6.2","12.5","34","73.8","176.7","179.7","179.6","176.8","71.9","9.8","6","937.6","1971 - 2000"
"74","09041","8110",NA,"9.8","7.2","16.3","37.4","64.8","178.6","187.3","185.5","207.3","73.7","11.7","3.7","983.3","1981 - 2010"
"75","09042","5110",NA,"14.3","9.7","11.3","30.4","67.9","134.8","162.1","140.1","118","53","7.7","7.1","756.4","1951 - 2010"
